
======================================================================
EXPERIMENT 5 QUANTITATIVE RESULTS
======================================================================

FILE_ID | MEAN_DEPTH | MAX_DEPTH | MIN_DEPTH | STD_DEPTH | POINTS
000355 | 0.5066 | 0.9649 | 0.0278 | 0.3586 | 122880
000356 | 0.4456 | 0.9744 | 0.0295 | 0.3630 | 122880
000357 | 0.5488 | 0.9677 | 0.0272 | 0.3876 | 122880
000358 | 0.5109 | 0.9640 | 0.0293 | 0.3483 | 122880
000359 | 0.5635 | 0.9751 | 0.0300 | 0.3387 | 122880
000360 | 0.5862 | 0.9743 | 0.0283 | 0.3416 | 122880
000361 | 0.4642 | 0.9819 | 0.0281 | 0.3639 | 122880
000362 | 0.5579 | 0.9755 | 0.0284 | 0.3866 | 122880
000363 | 0.5156 | 0.9665 | 0.0282 | 0.3536 | 122880
000364 | 0.5962 | 0.9766 | 0.0284 | 0.3610 | 122880
000365 | 0.4491 | 0.9701 | 0.0290 | 0.3685 | 122880
000366 | 0.4048 | 0.9731 | 0.0276 | 0.3691 | 122880
000367 | 0.5850 | 0.9714 | 0.0289 | 0.3503 | 122880
000368 | 0.4476 | 0.9715 | 0.0289 | 0.3691 | 122880
000369 | 0.5701 | 0.9798 | 0.0279 | 0.3768 | 122880
000370 | 0.5188 | 0.9793 | 0.0277 | 0.3748 | 122880
000371 | 0.5545 | 0.9774 | 0.0269 | 0.3837 | 122880
000372 | 0.5838 | 0.9764 | 0.0287 | 0.3369 | 122880
000373 | 0.4364 | 0.9771 | 0.0278 | 0.3588 | 122880
000374 | 0.4753 | 0.9769 | 0.0282 | 0.3495 | 122880
