step,epoch
71199,84.0
71249,84.0
71299,84.0
71349,84.0
71399,84.0
71449,84.0
71499,84.0
71549,84.0
71569,84.0
71569,84.0
71599,85.0
71649,85.0
71699,85.0
71749,85.0
71799,85.0
71849,85.0
71899,85.0
71949,85.0
71999,85.0
72049,85.0
72099,85.0
72149,85.0
72199,85.0
72249,85.0
72299,85.0
72349,85.0
72399,85.0
72411,85.0
72411,85.0
72449,86.0
72499,86.0
72549,86.0
72599,86.0
72649,86.0
72699,86.0
72749,86.0
72799,86.0
72849,86.0
72899,86.0
72949,86.0
72999,86.0
73049,86.0
73099,86.0
73149,86.0
73199,86.0
73249,86.0
73253,86.0
73253,86.0
73299,87.0
73349,87.0
73399,87.0
73449,87.0
73499,87.0
73549,87.0
73599,87.0
73649,87.0
73699,87.0
73749,87.0
73799,87.0
73849,87.0
73899,87.0
73949,87.0
73999,87.0
74049,87.0
74095,87.0
74095,87.0
74099,88.0
74149,88.0
74199,88.0
74249,88.0
74299,88.0
74349,88.0
74399,88.0
74449,88.0
74499,88.0
74549,88.0
74599,88.0
74649,88.0
74699,88.0
74749,88.0
74799,88.0
74849,88.0
74899,88.0
74937,88.0
74937,88.0
74949,89.0
74999,89.0
75049,89.0
75099,89.0
75149,89.0
75199,89.0
75249,89.0
75299,89.0
75349,89.0
75399,89.0
75449,89.0
75499,89.0
75549,89.0
75599,89.0
75649,89.0
75699,89.0
75749,89.0
75779,89.0
75779,89.0
75799,90.0
75849,90.0
75899,90.0
75949,90.0
75999,90.0
76049,90.0
76099,90.0
76149,90.0
76199,90.0
76249,90.0
76299,90.0
76349,90.0
76399,90.0
76449,90.0
76499,90.0
76549,90.0
76599,90.0
76621,90.0
76621,90.0
76649,91.0
76699,91.0
76749,91.0
76799,91.0
76849,91.0
76899,91.0
76949,91.0
76999,91.0
77049,91.0
77099,91.0
77149,91.0
77199,91.0
77249,91.0
77299,91.0
77349,91.0
77399,91.0
77449,91.0
77463,91.0
77463,91.0
77499,92.0
77549,92.0
77599,92.0
77649,92.0
77699,92.0
77749,92.0
77799,92.0
77849,92.0
77899,92.0
77949,92.0
77999,92.0
78049,92.0
78099,92.0
78149,92.0
78199,92.0
78249,92.0
78299,92.0
78305,92.0
78305,92.0
78349,93.0
78399,93.0
78449,93.0
78499,93.0
78549,93.0
78599,93.0
78649,93.0
78699,93.0
78749,93.0
78799,93.0
78849,93.0
78899,93.0
78949,93.0
78999,93.0
79049,93.0
79099,93.0
79147,93.0
79147,93.0
79149,94.0
79199,94.0
79249,94.0
79299,94.0
79349,94.0
79399,94.0
79449,94.0
79499,94.0
